t_s,stiff_contact_force_n,impedance_contact_force_n,stiff_center_error_m,impedance_center_error_m
1.1309999999999862,55.97833978445032,36.510670640814915,0.0022400307024151,0.0015203578369273286
1.1319999999999861,55.97655887724569,36.507787378992425,0.0022391375425382374,0.0015197714167384281
1.132999999999986,55.97361434521792,36.50510777041336,0.0022381798842268353,0.00151909092096614
1.133999999999986,55.97115045605396,36.5049404599591,0.0022378993821406293,0.0015190406999405703
1.1349999999999858,55.97242095390942,36.50556734676252,0.0022379419081528912,0.0015191708748516376
1.1359999999999857,55.97233295491925,36.5050432593341,0.0022381770186859057,0.0015193282427260451
1.1369999999999856,55.981167143438334,36.51269137568876,0.002238688442864665,0.0015195991741518873
1.1379999999999855,55.98024050624212,36.508330238867345,0.0022390680890719,0.0015196242250315308
1.1389999999999854,55.978190963333766,36.50745046968349,0.0022390816742570143,0.0015192315384182221
1.1399999999999852,55.979080029135176,36.51287393696497,0.00223919390307503,0.001518927417780313
1.1409999999999851,55.97378309554406,36.50794430828071,0.0022396014045724002,0.0015189228157293467
1.141999999999985,55.97703327409621,36.51075247640469,0.0022400781692903556,0.0015189929554211877
1.142999999999985,55.974823736019104,36.5071379290815,0.002240376893872681,0.0015189138336270485
1.1439999999999848,55.972622536566476,36.505805278522494,0.002240559164895633,0.0015187603436214352
1.1449999999999847,55.97014167103374,36.50457294648875,0.0022408451247190866,0.0015187704296170377
1.1459999999999846,55.970179146136886,36.50440587890495,0.0022415712966553114,0.0015192866993105874
1.1469999999999845,55.97428702763289,36.50848766295894,0.002241457690488601,0.00151896095021084
1.1479999999999844,55.96783838483532,36.50614190269895,0.002241455254395335,0.0015188439586883986
1.1489999999999843,55.96677455401886,36.50631940067106,0.002241702300293758,0.001519037700591787
1.1499999999999841,55.96701678484235,36.50403479227984,0.002241996063987816,0.0015193168037979088
1.150999999999984,55.96668258079097,36.50368215048275,0.002241687601397443,0.001519029107429832
1.151999999999984,55.96236395051031,36.50313686702805,0.0022409258022855847,0.0015183841321963969
1.1529999999999838,55.958844009848555,36.50253616381193,0.0022402960848485675,0.0015179941153428942
1.1539999999999837,55.956140471812475,36.50218593290207,0.0022397757640849367,0.0015177738888638855
1.1549999999999836,55.95570302212703,36.50628085495603,0.002239109347961023,0.0015174198109364158
1.1559999999999835,55.96403627956328,36.51290892442219,0.0022385602052808107,0.001517191027852912
1.1569999999999834,55.962080286959306,36.507860593920824,0.0022382091425131668,0.0015171299425013815
1.1579999999999833,55.9648199416651,36.50848302793862,0.0022379353876782098,0.0015170810614322477
1.1589999999999832,55.97072664700937,36.51250247795486,0.0022376060296835864,0.0015168920324477684
1.159999999999983,55.981251186894085,36.52132026889759,0.0022371526414110103,0.0015165117279117713
1.160999999999983,55.9759036820978,36.513758513863216,0.0022371879504397385,0.0015165723982907356
1.1619999999999828,55.97492747950961,36.51150822548203,0.002237347558442653,0.0015166427647076064
1.1629999999999827,55.97360087081439,36.50914929984489,0.0022377683198617957,0.001516883812757552
1.1639999999999826,55.983598592781014,36.51770020843248,0.0022383756912008382,0.0015172217798258161
1.1649999999999825,55.98660654781551,36.51819589208166,0.0022389079218403706,0.0015174160843433489
1.1659999999999824,55.98370203988942,36.51534744695542,0.002238800899374525,0.0015169583903359642
1.1669999999999823,55.978761274582375,36.51653481251866,0.0022386846086166895,0.0015165464593461513
1.1679999999999822,55.97805449541927,36.518602483404976,0.002238900460285348,0.00151651420080017
1.168999999999982,55.976824329879676,36.51767622916642,0.0022387483528414926,0.0015161425314596762
1.169999999999982,55.97631066048549,36.521946194942046,0.0022387857258122238,0.0015160175054794356
1.1709999999999818,55.980557619583486,36.528173816983035,0.0022393379479919663,0.0015164380084695132
1.1719999999999817,55.98166540896334,36.525693451970625,0.002240057266895451,0.001516998753590971
1.1729999999999816,55.98297754856424,36.526094090280026,0.0022408302775660085,0.0015175900400811043
1.1739999999999815,55.984156186164334,36.52259074002337,0.0022418941418960014,0.0015184728098050634
1.1749999999999814,55.98892888515667,36.527469853164604,0.002242661319692654,0.001519049232784054
1.1759999999999813,55.98802585154336,36.52123349929412,0.0022433506020599183,0.0015195919747803706
1.1769999999999812,55.98759792035618,36.51860284494227,0.002243716691843748,0.0015198933032182132
1.177999999999981,55.98468435500653,36.518748850478275,0.0022438261355412943,0.0015200514237855615
1.178999999999981,55.982075209673226,36.52548094399226,0.002243739904052457,0.0015201377400864348
1.1799999999999808,55.97943904391264,36.52011638312012,0.0022434792230521736,0.0015201645625989235
1.1809999999999807,55.977043774061514,36.51959197646388,0.002242918432253691,0.0015199879817653444
1.1819999999999806,55.973806905738975,36.519272242860545,0.002241921873043764,0.0015194849005799255
1.1829999999999805,55.96950678367328,36.51922559490058,0.002241127639292941,0.0015192882150300913
